"","Region","Census","Estimate","April2010","April2011","Change"
"1","Alabama",4779736,4779735,4785401,4802740,17339
"2","Alaska",710231,710231,714146,722718,8572
"3","Arizona",6392017,6392013,6413158,6482505,69347
"4","Arkansas",2915918,2915921,2921588,2937979,16391
"5","California",37253956,37253956,37338198,37691912,353714
"6","Colorado",5029196,5029196,5047692,5116796,69104
"7","Connecticut",3574097,3574097,3575498,3580709,5211
"8","Delaware",897934,897934,899792,907135,7343
"9","District of Columbia",601723,601723,604912,617996,13084
"10","Florida",18801310,18801311,18838613,19057542,218929
"11","Georgia",9687653,9687660,9712157,9815210,103053
"12","Hawaii",1360301,1360301,1363359,1374810,11451
"13","Idaho",1567582,1567582,1571102,1584985,13883
"14","Illinois",12830632,12830632,12841980,12869257,27277
"15","Indiana",6483802,6483800,6490622,6516922,26300
"16","Iowa",3046355,3046350,3050202,3062309,12107
"17","Kansas",2853118,2853118,2859143,2871238,12095
"18","Kentucky",4339367,4339362,4347223,4369356,22133
"19","Louisiana",4533372,4533372,4545343,4574836,29493
"20","Maine",1328361,1328361,1327379,1328188,809
"21","Maryland",5773552,5773552,5785681,5828289,42608
"22","Massachusetts",6547629,6547629,6555466,6587536,32070
"23","Michigan",9883640,9883635,9877143,9876187,-956
"24","Minnesota",5303925,5303925,5310658,5344861,34203
"25","Mississippi",2967297,2967297,2970072,2978512,8440
"26","Missouri",5988927,5988927,5995715,6010688,14973
"27","Montana",989415,989415,990958,998199,7241
"28","Nebraska",1826341,1826341,1830141,1842641,12500
"29","Nevada",2700551,2700551,2704283,2723322,19039
"30","New Hampshire",1316470,1316472,1316807,1318194,1387
"31","New Jersey",8791894,8791894,8799593,8821155,21562
"32","New Mexico",2059179,2059180,2065913,2082224,16311
"33","New York",19378102,19378104,19395206,19465197,69991
"34","North Carolina",9535483,9535475,9560234,9656401,96167
"35","North Dakota",672591,672591,674629,683932,9303
"36","Ohio",11536504,11536502,11537968,11544951,6983
"37","Oklahoma",3751351,3751354,3760184,3791508,31324
"38","Oregon",3831074,3831074,3838332,3871859,33527
"39","Pennsylvania",12702379,12702379,12717722,12742886,25164
"40","Rhode Island",1052567,1052567,1052528,1051302,-1226
"41","South Carolina",4625364,4625364,4637106,4679230,42124
"42","South Dakota",814180,814180,816598,824082,7484
"43","Tennessee",6346105,6346110,6357436,6403353,45917
"44","Texas",25145561,25145561,25253466,25674681,421215
"45","Utah",2763885,2763885,2775479,2817222,41743
"46","Vermont",625741,625741,625909,626431,522
"47","Virginia",8001024,8001030,8023953,8096604,72651
"48","Washington",6724540,6724540,6742950,6830038,87088
"49","West Virginia",1852994,1852996,1854368,1855364,996
"50","Wisconsin",5686986,5686986,5691659,5711767,20108
"51","Wyoming",563626,563626,564554,568158,3604
"52","Puerto Rico",3725789,3725789,3721978,3706690,-15288
